receipt_no,completion_date,transaction_details,hour,period,direction,amount
TKLLAAQXVI,2025-11-21 18:41:00,Payment small business,18,evening,expense,20
TKLLAAR81Z,2025-11-21 19:15:00,Send money charges,19,evening,expense,7
TKLLAAR81Z,2025-11-21 19:15:00,Payment small business,19,evening,expense,120
TKLLAARF85,2025-11-21 20:32:00,Payment small business,20,evening,expense,20
TKLLAARFEV,2025-11-21 20:42:00,Send money,20,evening,expense,20
TKLLAARGUR,2025-11-21 20:47:00,Payment small business,20,evening,expense,35
TKLLAAROWL,2025-11-21 20:55:00,Merchant payment,20,evening,expense,30
TKMLAAS9FP,2025-11-22 08:02:00,Paybill,8,morning,expense,50
TKMLAASAYN,2025-11-22 08:12:00,Payment small business,8,morning,expense,20
TKMLAAS70I,2025-11-22 08:36:00,Payment small business,8,morning,expense,80
TKMLAASIEE,2025-11-22 09:31:00,Payment small business,9,morning,expense,50
TKMLAASGCW,2025-11-22 10:08:00,Airtime Purchase,10,morning,expense,5
TKMLAATBY2,2025-11-22 14:28:00,Bundle purchase,14,afternoon,expense,10
TKMI8AVS0U,2025-11-22 14:52:00,Funds recieved,14,afternoon,income,2000
TKMLAATI5D,2025-11-22 15:17:00,Merchant payment,15,afternoon,expense,2000
TKMLAAUBR0,2025-11-22 19:16:00,Merchant payment,19,evening,expense,20
TKMLAAUC84,2025-11-22 19:34:00,Payment small business,19,evening,expense,100
TKMLAAUDJV,2025-11-22 19:35:00,Payment small business,19,evening,expense,50
TKMLAAUYKZ,2025-11-22 21:35:00,Payment small business,21,night,expense,20
TKMLAAUYQD,2025-11-22 21:46:00,Payment small business,21,night,expense,80
TKMLAAUXBL,2025-11-22 21:46:00,M-Shwari Withdraw,21,night,income,100
TKMLAAUXD4,2025-11-22 21:48:00,Payment small business,21,night,expense,25
TKMLAAV5SK,2025-11-22 22:56:00,M-Shwari Withdraw,22,night,income,200
TKMLAAUZGW,2025-11-22 22:57:00,Send money,22,night,expense,100
TKNLAAVHK4,2025-11-23 09:13:00,Airtime Purchase,9,morning,expense,10
TKNLAAVNUH,2025-11-23 10:02:00,M-Shwari Withdraw,10,morning,income,500
TKNLAAVRG9,2025-11-23 10:04:00,Send money charges,10,morning,expense,7
TKNLAAVRG9,2025-11-23 10:04:00,Send money,10,morning,expense,500
